PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,GrpSize,FareCat,AgeCat
379,0,3,male,0,0,C,Mr,solo,0-10,16-32
873,0,1,male,0,0,S,Mr,solo,0-10,32-48
327,0,3,male,0,0,S,Mr,solo,0-10,48-64
844,0,3,male,0,0,C,Mr,solo,0-10,32-48
819,0,3,male,0,0,S,Mr,solo,0-10,32-48
203,0,3,male,0,0,S,Mr,solo,0-10,32-48
372,0,3,male,1,0,S,Mr,couple,0-10,16-32
144,0,3,male,0,0,Q,Mr,solo,0-10,16-32
655,0,3,female,0,0,Q,Miss,solo,0-10,16-32
412,0,3,male,0,0,Q,Mr,solo,0-10,16-32
826,0,3,male,0,0,Q,Mr,solo,0-10,16-32
130,0,3,male,0,0,S,Mr,solo,0-10,32-48
805,1,3,male,0,0,S,Mr,solo,0-10,16-32
478,0,3,male,1,0,S,Mr,couple,0-10,16-32
364,0,3,male,0,0,S,Mr,solo,0-10,32-48
211,0,3,male,0,0,S,Mr,solo,0-10,16-32
785,0,3,male,0,0,S,Mr,solo,0-10,16-32
132,0,3,male,0,0,S,Mr,solo,0-10,16-32
885,0,3,male,0,0,S,Mr,solo,0-10,16-32
612,0,3,male,0,0,S,Mr,solo,0-10,16-32
466,0,3,male,0,0,S,Mr,solo,0-10,32-48
722,0,3,male,1,0,S,Mr,couple,0-10,16-32
632,0,3,male,0,0,S,Mr,solo,0-10,48-64
434,0,3,male,0,0,S,Mr,solo,0-10,16-32
762,0,3,male,0,0,S,Mr,solo,0-10,32-48
244,0,3,male,0,0,S,Mr,solo,0-10,16-32
591,0,3,male,0,0,S,Mr,solo,0-10,32-48
128,1,3,male,0,0,S,Mr,solo,0-10,16-32
355,0,3,male,0,0,C,Mr,solo,0-10,16-32
662,0,3,male,0,0,C,Mr,solo,0-10,32-48
20,1,3,female,0,0,C,Mrs,solo,0-10,16-32
27,0,3,male,0,0,C,Mr,solo,0-10,16-32
876,1,3,female,0,0,C,Miss,solo,0-10,0-16
599,0,3,male,0,0,C,Mr,solo,0-10,16-32
204,0,3,male,0,0,C,Mr,solo,0-10,32-48
245,0,3,male,0,0,C,Mr,solo,0-10,16-32
694,0,3,male,0,0,C,Mr,solo,0-10,16-32
774,0,3,male,0,0,C,Mr,solo,0-10,16-32
554,1,3,male,0,0,C,Mr,solo,0-10,16-32
523,0,3,male,0,0,C,Mr,solo,0-10,16-32
525,0,3,male,0,0,C,Mr,solo,0-10,16-32
532,0,3,male,0,0,C,Mr,solo,0-10,16-32
569,0,3,male,0,0,C,Mr,solo,0-10,16-32
833,0,3,male,0,0,C,Mr,solo,0-10,16-32
297,0,3,male,0,0,C,Mr,solo,0-10,16-32
37,1,3,male,0,0,C,Mr,solo,0-10,16-32
533,0,3,male,1,1,C,Mr,group,0-10,16-32
61,0,3,male,0,0,C,Mr,solo,0-10,16-32
368,1,3,female,0,0,C,Mrs,solo,0-10,16-32
58,0,3,male,0,0,C,Mr,solo,0-10,16-32
799,0,3,male,0,0,C,Mr,solo,0-10,16-32
353,0,3,male,1,1,C,Mr,group,0-10,0-16
781,1,3,female,0,0,C,Miss,solo,0-10,0-16
860,0,3,male,0,0,C,Mr,solo,0-10,16-32
763,1,3,male,0,0,C,Mr,solo,0-10,16-32
377,1,3,female,0,0,S,Miss,solo,0-10,16-32
366,0,3,male,0,0,S,Mr,solo,0-10,16-32
426,0,3,male,0,0,S,Mr,solo,0-10,16-32
321,0,3,male,0,0,S,Mr,solo,0-10,16-32
786,0,3,male,0,0,S,Mr,solo,0-10,16-32
251,0,3,male,0,0,S,Mr,solo,0-10,16-32
492,0,3,male,0,0,S,Mr,solo,0-10,16-32
95,0,3,male,0,0,S,Mr,solo,0-10,48-64
593,0,3,male,0,0,S,Mr,solo,0-10,32-48
213,0,3,male,0,0,S,Mr,solo,0-10,16-32
1,0,3,male,1,0,S,Mr,couple,0-10,16-32
471,0,3,male,0,0,S,Mr,solo,0-10,16-32
228,0,3,male,0,0,S,Mr,solo,0-10,16-32
155,0,3,male,0,0,S,Mr,solo,0-10,16-32
515,0,3,male,0,0,S,Mr,solo,0-10,16-32
787,1,3,female,0,0,S,Miss,solo,0-10,16-32
664,0,3,male,0,0,S,Mr,solo,0-10,32-48
479,0,3,male,0,0,S,Mr,solo,0-10,16-32
650,1,3,female,0,0,S,Miss,solo,0-10,16-32
846,0,3,male,0,0,S,Mr,solo,0-10,32-48
236,0,3,female,0,0,S,Miss,solo,0-10,16-32
649,0,3,male,0,0,S,Mr,solo,0-10,16-32
503,0,3,female,0,0,Q,Miss,solo,0-10,16-32
700,0,3,male,0,0,S,Mr,solo,0-10,32-48
107,1,3,female,0,0,S,Miss,solo,0-10,16-32
76,0,3,male,0,0,S,Mr,solo,0-10,16-32
716,0,3,male,0,0,S,Mr,solo,0-10,16-32
469,0,3,male,0,0,Q,Mr,solo,0-10,16-32
389,0,3,male,0,0,Q,Mr,solo,0-10,16-32
157,1,3,female,0,0,Q,Miss,solo,0-10,0-16
698,1,3,female,0,0,Q,Miss,solo,0-10,16-32
422,0,3,male,0,0,Q,Mr,solo,0-10,16-32
630,0,3,male,0,0,Q,Mr,solo,0-10,16-32
728,1,3,female,0,0,Q,Miss,solo,0-10,16-32
779,0,3,male,0,0,Q,Mr,solo,0-10,16-32
704,0,3,male,0,0,Q,Mr,solo,0-10,16-32
526,0,3,male,0,0,Q,Mr,solo,0-10,32-48
33,1,3,female,0,0,Q,Miss,solo,0-10,16-32
574,1,3,female,0,0,Q,Miss,solo,0-10,16-32
215,0,3,male,1,0,Q,Mr,couple,0-10,16-32
197,0,3,male,0,0,Q,Mr,solo,0-10,16-32
614,0,3,male,0,0,Q,Mr,solo,0-10,16-32
502,0,3,female,0,0,Q,Miss,solo,0-10,16-32
199,1,3,female,0,0,Q,Miss,solo,0-10,16-32
768,0,3,female,0,0,Q,Miss,solo,0-10,16-32
209,1,3,female,0,0,Q,Miss,solo,0-10,0-16
277,0,3,female,0,0,S,Miss,solo,0-10,32-48
